number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,,
1406,限时勇闯石穴迷宫（20分钟）,34,65,11,1,,,,1,64,99,all,,CheckTaskFinished(1405),,,,,,1200,4935,35,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(45600);AddNimbus(22800);AddMoney(6840),,,,,0,,
1407,机关暗门,34,65,11,1,,,,1,63,99,all,,,,,,,,0,0,0,4353,1,4957;4958;4959;4960;5037;,4353;4353;4353;4353;4353,1;1;1;1;1,5;5;5;5;5,,0,,0,99,40 ,AddExp(30400);AddNimbus(15200);AddMoney(4560),,,,,0,,
1408,斩妖除魔,34,65,11,1,,,,1,64,99,all,,,,,,,,0,4936,1,0,0,0,0,0,0,,0,,0,99,130 ,AddExp(98800);AddNimbus(49400);AddMoney(14820),,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,初来乍到,34,61,0,1,,,,1,61,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(10800);AddNimbus(5400);AddMoney(1620),,,,,0,,
1410,勘查地形,34,62,0,1,,,,1,61,99,all,,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(10950);AddNimbus(5475);AddMoney(1665),"AddItemFromCode(""i=4419,sml=7,t=3600"")",,,,0,,
1411,巧妙的伪装,34,61,0,1,,,,1,61,99,all,,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(10800);AddNimbus(5400);AddMoney(1620),"AddItemFromCode(""i=4425"")",,,,0,,
1412,九色鹿的传说,34,63,1,1,,,,1,61,99,all,,,,GetItemSpace >= 1,,,,0,0,0,4376,1,4989,4376,1,1,,0,,0,99,55 ,AddExp(40700);AddNimbus(20350);AddMoney(6105),"AddItemEx(4430,0,0,1)","
",,,0,,
1413,疑云密布,34,61,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4361,10,4969,4361,0.5,10,,0,,0,99,55 ,AddExp(39600);AddNimbus(19800);AddMoney(5940),,,,,0,,
1414,深入贼穴,34,61,0,1,,,,1,61,99,all,,CheckTaskFinished(1413),,,,,,0,0,0,4362,15,4976,4362,1,15,,0,,0,99,55 ,AddExp(39600);AddNimbus(19800);AddMoney(5940),,,,,0,,
1415,证据确凿,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1414),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(10950);AddNimbus(5475);AddMoney(1665),,,,,0,,
1416,速速汇报,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1413),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(10950);AddNimbus(5475);AddMoney(1665),,,,,0,,
1417,迫在眉睫,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1416),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(10950);AddNimbus(5475);AddMoney(1665),,,,,0,,
1418,月龙村内鬼,34,63,0,1,,,,1,61,99,all,,CheckTaskFinished(1417),,,,,,0,0,0,4377,10,4980,4377,0.25,10,,0,,0,99,55 ,AddExp(40700);AddNimbus(20350);AddMoney(6105),,,,,0,,
1419,破译代号,34,63,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4378,1,4981,4378,0.05,1,,0,,0,99,60 ,AddExp(44400);AddNimbus(22200);AddMoney(6660),,,,,0,,
1420,行动暴露,34,63,0,1,,,,1,61,99,all,,"CheckTaskFinished(1419)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,"AddItem(4422,1)",,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(11100);AddNimbus(5550);AddMoney(1665),,,,,0,,
1421,就地正法,34,63,0,1,,,,1,61,99,all,,CheckTaskFinished(1420),,,,"RemoveItem(4422,1)",,0,4982,1,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(44400);AddNimbus(22200);AddMoney(6660),,,,,0,,
1422,身份之谜,34,64,0,1,,,,1,61,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(11250);AddNimbus(5625);AddMoney(1710),,,,,0,,
1423,告白天下,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1422),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(15000);AddNimbus(7500);AddMoney(2280),,,,,0,,
1424,捕风捉影,34,65,0,1,,,,1,61,99,all,,CheckTaskFinished(1423),,,,,,0,0,0,4399,15,4999,4399,0.5,15,,0,,0,99,60 ,AddExp(45600);AddNimbus(22800);AddMoney(6840),,,,,0,,
1425,蛛丝马迹,34,65,0,1,,,,1,61,99,all,,CheckTaskFinished(1424),,,,,,0,0,0,4400,15,5000,4400,0.5,15,,0,,0,99,60 ,AddExp(45600);AddNimbus(22800);AddMoney(6840),,,,,0,,
1426,诈引朱洪,34,65,0,1,,,,1,61,99,all,,"CheckTaskFinished(1425)
GetItemSpace >= 1","AddItem(4423,1)",,,,,0,0,0,4423,1,0,0,0,0,,0,,0,99,20 ,AddExp(15200);AddNimbus(7600);AddMoney(2280),,,,,0,,
1427,镇山之宝,34,65,1,1,,,,1,61,99,all,,"CheckTaskFinished(1426)
GetTaskItemSpace >= 1","AddItem(4423,1)",,,,,0,0,0,4423;4401,1;1,5001,4401,1,1,,0,,0,99,65 ,AddExp(49400);AddNimbus(24700);AddMoney(7410),,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,挑战月龙护卫,34,61,1,0,1,,,1,61,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,4,4975,1,0,99,30 ,AddExp(21600);AddNimbus(10800);AddMoney(3240),,,,,0,,
1429,挑战月龙斗士,34,62,1,0,1,,,1,61,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,4,4979,1,0,99,,AddExp(0);AddNimbus(0),AddEffect(2234),,,,0,,
1430,挑战月龙勇士,34,63,1,0,1,,,1,62,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,4,4988,1,0,99,,AddExp(0);AddNimbus(0),AddEffect(2235),,,,0,,
1431,挑战月龙侠客,34,64,1,0,1,,,1,63,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,4,4995,1,0,99,,AddExp(0);AddNimbus(0),AddEffect(2237),,,,0,,
1432,挑战月龙霸主,34,65,1,0,1,,,1,64,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,4,5002,1,0,99,,AddExp(0);AddNimbus(0),AddEffect(2236),,,,0,,
1433,屠魔战士,34,63,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4402,99,5460;4968;4969;4970;4971;4972;4973;4974;4975;4976;4977;4978;4979;4980;4981;4982;4983;4984;4985;4986;4987;4988;4989;4990;4991;4992;4993;4994;4995;4996;4997;4998;4999;5000;5001;5002;5003;5004;5005;5006;5007;5008;5009;,4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;,0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3,99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,,0,,0,99,50 ,AddExp(37000);AddNimbus(18500);AddMoney(5550),,,,,0,,
1434,道心纵魔大法,34,63,0,0,,,,1,61,99,all,,CheckTaskFinished(1433),,GetItemSpace >= 1,,,,0,0,0,4402,495,5460;4968;4969;4970;4971;4972;4973;4974;4975;4976;4977;4978;4979;4980;4981;4982;4983;4984;4985;4986;4987;4988;4989;4990;4991;4992;4993;4994;4995;4996;4997;4998;4999;5000;5001;5002;5003;5004;5005;5006;5007;5008;5009;,4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;4402;,0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3,495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;495;,,0,,0,99,250 ,AddExp(37000);AddNimbus(6167),"AddItemEx(4403,0,0,1)",,,,0,,
1435,神坛斗士,34,63,1,1,,,,1,61,99,all,,CheckTaskFinished(1433),,,,,,0,0,0,4403,99,0,0,0,0,,0,,0,99,400 ,AddExp(296000);AddNimbus(148000);AddMoney(44400),,,,,0,,
1436,包打听对于偏门法宝的悬赏公告,34,61,0,0,1,,,1,61,99,all,,,,,,,,0,0,0,4424,1,5292;4968;4969;4970;4971;4972;,4424;4424;4424;4424;4424;4424;,0.05;0.05;0.05;0.05;0.05;0.05;,1;1;1;1;1;1;,,0,,0,99,50 ,AddExp(36000);AddNimbus(18000);AddMoney(5400),,,,,0,,
1437,月龙祭司对于占星术下卷的悬赏公告,34,62,0,0,1,,,1,61,99,all,,,,,,,,0,0,0,4372,1,4976;4977;,4372;4372;,0.05;0.05;,1;1;,,0,,0,99,50 ,AddExp(36500);AddNimbus(18250);AddMoney(5550),,,,,0,,
1438,月龙长老对于古籍的悬赏公告,34,63,0,0,1,,,1,61,99,all,,,,,,,,0,0,0,4379,1,5293;4980;4981;4984;4985;4986;4987,4379;4379;4379;4379;4379;4379;4379;,0.05;0.05;0.05;0.05;0.05;0.05;0.05;,1;1;1;1;1;1;1,,0,,0,99,50 ,AddExp(37000);AddNimbus(18500);AddMoney(5550),,,,,0,,
1439,月龙村财主对翠玉钗的悬赏公告,34,64,0,0,1,,,1,61,99,all,,,,,,,,0,0,0,4392,1,5294;4990;4991;4992;4993;4994;,4392;4392;4392;4392;4392;4392;,0.05;0.05;0.05;0.05;0.05;0.05;,1;1;1;1;1;1;,,0,,0,99,50 ,AddExp(37500);AddNimbus(18750);AddMoney(5700),,,,,0,,
1440,月龙铁匠对于飞天宝刀的悬赏公告,34,65,0,0,1,,,1,61,99,all,,,,,,,,0,0,0,4404,1,5295;4999;5000;;5005;5006;5007;5008;5009;,4404;4404;4404;4404;4404;4404;4404;4404;,0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;,1;1;1;1;1;1;1;1;,,0,,0,99,50 ,AddExp(38000);AddNimbus(19000);AddMoney(5700),,,,,0,,
1441,白云大师的召唤,34,63,0,1,,,,1,63,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(11100);AddNimbus(5550);AddMoney(1665),,,,,0,,
1442,通臂神猿李宁的召唤,34,63,0,1,,,,1,63,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(11100);AddNimbus(5550);AddMoney(1665),,,,,0,,
1443,餐霞大师的召唤,34,63,0,1,,,,1,63,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(11100);AddNimbus(5550);AddMoney(1665),,,,,0,,
1444,追云叟白谷逸的召唤,34,63,0,1,,,,1,63,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(11100);AddNimbus(5550);AddMoney(1665),,,,,0,,
1445,百禽道人公冶黄的召唤,34,63,0,1,,,,1,63,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(11100);AddNimbus(5550);AddMoney(1665),,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,重金悬赏令,34,61,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4364;4365;,5;10,4968;5025,4364;4365;,0.5;1,5;10,,0,,0,99,40 ,AddExp(28800);AddNimbus(14400);AddMoney(4320),,,,,0,,
1447,未曾找回的物品,34,61,0,1,,,,1,61,99,all,,CheckTaskFinished(1446),,,,,,0,0,0,4366,10,4969,4366,0.5,10,,0,,0,99,45 ,AddExp(32400);AddNimbus(16200);AddMoney(4860),,,,,0,,
1448,直捣黄龙,34,61,1,1,,,,1,61,99,all,,CheckTaskFinished(1447),,GetItemSpace >= 1,,,,0,4970,1,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(50400);AddNimbus(25200);AddMoney(7560),,,,"em;AddItemEx(264,0,1,1)
fm;AddItemEx(273,0,1,1)
bh;AddItemEx(282,0,1,1)
qc;AddItemEx(607,0,1,1)
xq;AddItemEx(685,0,1,1)",0,,
1449,幕后推手,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1448),,,,,,0,4976,15,0,0,0,0,0,0,,0,,0,99,45 ,AddExp(32850);AddNimbus(16425);AddMoney(4995),,,,,0,,
1450,月龙村守卫,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1449),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(14600);AddNimbus(7300);AddMoney(2220),,,,,0,,
1451,恶汉来袭,34,63,0,1,,,,1,61,99,all,,CheckTaskFinished(1450),,,,,,0,4980,15,0,0,0,0,0,0,,0,,0,99,45 ,AddExp(33300);AddNimbus(16650);AddMoney(4995),,,,,0,,
1452,散播谣言,34,63,0,1,,,,1,61,99,all,,CheckTaskFinished(1451),,,,,,0,0,0,4385,10,4981,4385,0.5,10,,0,,0,99,45 ,AddExp(33300);AddNimbus(16650);AddMoney(4995),,,,,0,,
1453,万恶之源,34,63,1,1,,,,1,61,99,all,,CheckTaskFinished(1452),,GetItemSpace >= 1,,,,0,4983,1,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(51800);AddNimbus(25900);AddMoney(7770),,,,"em;AddItemEx(91,0,1,1)
fm;AddItemEx(118,0,1,1)
bh;AddItemEx(145,0,1,1)
qc;AddItemEx(589,0,1,1)
xq;AddItemEx(667,0,1,1)",0,,
1454,九尾银狐,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1453),,,,,,0,4990,20,0,0,0,0,0,0,,0,,0,99,45 ,AddExp(33750);AddNimbus(16875);AddMoney(5130),,,,,0,,
1455,可怕的巫术,34,64,1,1,,,,1,61,99,all,,CheckTaskFinished(1454),,,,,,0,4994,20,0,0,0,0,0,0,,0,,0,99,45 ,AddExp(33750);AddNimbus(16875);AddMoney(5130),,,,,0,,
1456,数百年的诅咒,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1455),,GetItemSpace >= 1,,,,0,4998,1,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(52500);AddNimbus(26250);AddMoney(7980),,,,"em;AddItemEx(291,0,1,1)
fm;AddItemEx(300,0,1,1)
bh;AddItemEx(309,0,1,1)
qc;AddItemEx(616,0,1,1)
xq;AddItemEx(694,0,1,1)",0,,
1457,寻找女童安雅,34,64,0,1,,,,1,62,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(15000);AddNimbus(7500);AddMoney(2280),,,,,0,,
1458,解除重围,34,64,1,1,,,1,1,62,99,all,,CheckTaskFinished(1457),,,,,,0,0,0,0,0,0,0,0,0,2,5026,1,0,99,60 ,AddExp(45000);AddNimbus(22500);AddMoney(6840),,,,,0,,
1459,魔教来犯,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1458),,,,,,0,4999,20,0,0,0,0,0,0,,0,,0,99,45 ,AddExp(34200);AddNimbus(17100);AddMoney(5130),,,,,0,,
1460,严阵以待,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1459),,,,,,0,5000,20,0,0,0,0,0,0,,0,,0,99,45 ,AddExp(34200);AddNimbus(17100);AddMoney(5130),,,,,0,,
1461,一手遮天,34,65,1,1,,,,1,62,99,all,,CheckTaskFinished(1460),,GetItemSpace >= 1,,,,0,5003,1,0,0,0,0,0,0,,0,,0,99,75 ,AddExp(57000);AddNimbus(28500);AddMoney(8550),,,,"em;AddItemEx(100,0,1,1)
fm;AddItemEx(127,0,1,1)
bh;AddItemEx(154,0,1,1)
qc;AddItemEx(598,0,1,1)
xq;AddItemEx(676,0,1,1)",0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,收获的季节,34,61,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4367,10,4973,4367,1,10,,0,,0,99,40 ,AddExp(28800);AddNimbus(14400);AddMoney(4320),,,,,0,,
1463,九层塔，十里香,34,61,0,1,,,,1,61,99,all,,CheckTaskFinished(1462),,,,,,0,0,0,4368,10,4971,4368,0.5,10,,0,,0,99,40 ,AddExp(28800);AddNimbus(14400);AddMoney(4320),,,,,0,,
1464,稀缺麝香,34,61,0,1,,,,1,61,99,all,,CheckTaskFinished(1463),,,,,,0,0,0,4369,10,4972,4369,0.5,10,,0,,0,99,45 ,AddExp(32400);AddNimbus(16200);AddMoney(4860),,,,,0,,
1465,寻找合适的容器,34,62,1,1,,,,1,61,99,all,,CheckTaskFinished(1464),,GetItemSpace >= 1,,,,0,0,0,4373,1,4977,4373,1,1,,0,,0,99,65 ,AddExp(47450);AddNimbus(23725);AddMoney(7215),"AddItemEx(4431,0,0,1)",,,,0,,
1466,制作九龙麝香雪玉膏,34,62,0,1,,,,1,61,99,all,,"CheckTaskFinished(1465)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,"AddItem(4417,1)",,0,0,0,3517;2051,3;3,0,0,0,0,,0,,0,99,50 ,AddExp(36500);AddNimbus(18250);AddMoney(5550),,,,,0,,
1467,九龙麝香黑玉膏,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1466),,GetItemSpace >= 1,,,,0,0,0,3517;2051,1;1,0,0,0,0,,0,,0,99,45 ,AddExp(32850);AddNimbus(16425);AddMoney(4995),"AddItemEx(4418,0,0,1)",,,,0,,
1468,救治受伤村民,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1466),,,,,,0,0,0,4417,1,0,0,0,0,,0,,0,99,75 ,AddExp(54750);AddNimbus(27375);AddMoney(8325),,,,,0,,
1469,和玉甘露,34,63,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4386,15,4984,4386,0.5,15,,0,,0,99,47 ,AddExp(34780);AddNimbus(17390);AddMoney(5217),,,,,0,,
1470,冬虫灵芝,34,63,0,1,,,,1,61,99,all,,CheckTaskFinished(1469),,,,,,0,0,0,4387,15,4985,4387,0.5,15,,0,,0,99,47 ,AddExp(34780);AddNimbus(17390);AddMoney(5217),,,,,0,,
1471,难求药引,34,63,0,1,,,,1,61,99,all,,CheckTaskFinished(1470),,GetItemSpace >= 1,,,,0,0,0,2014,10,0,0,0,0,,0,,0,99,47 ,AddExp(34780);AddNimbus(17390);AddMoney(5217),,,,,0,,
1472,药到病除,34,64,0,1,,,,1,61,99,all,,"CheckTaskFinished(1471)
GetItemSpace >= 1","AddItem(4429,1)",,,,"RemoveItem(4429,1)",0,5012,1,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(45000);AddNimbus(22500);AddMoney(6840),,,,,0,,
1473,相借古籍药典,34,64,0,1,,,,1,62,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,32 ,AddExp(24000);AddNimbus(12000);AddMoney(3648),,,,,0,,
1474,开启古籍药典,34,64,0,1,,,,1,62,99,all,,CheckTaskFinished(1473),,,,,,0,0,0,504,1,0,0,0,0,,0,,0,99,45 ,AddExp(33750);AddNimbus(16875);AddMoney(5130),,,,,0,,
1475,地蝎蛰刺,34,64,0,1,,,,1,62,99,all,,CheckTaskFinished(1474),,,,,,0,0,0,4394,15,4992,4394,0.5,15,,0,,0,99,50 ,AddExp(37500);AddNimbus(18750);AddMoney(5700),,,,,0,,
1476,吸积地灵之气,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1475),,,,,,0,0,0,4405,15,5004,4405,1,15,,0,,0,99,50 ,AddExp(38000);AddNimbus(19000);AddMoney(5700),,,,,0,,
1477,日月之精华,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1476),,,,,,0,0,0,4406,15,5005,4406,0.5,15,,0,,0,99,50 ,AddExp(38000);AddNimbus(19000);AddMoney(5700),,,,,0,,
1478,融人杰之力,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1477),,,,,,0,0,0,514,5,0,0,0,0,,0,,0,99,40 ,AddExp(30400);AddNimbus(15200);AddMoney(4560),,,,,0,,
1479,浑然天成,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1478),,GetItemSpace >= 1,,,,0,0,0,4407,15,5006,4407,0.5,15,,0,,0,99,65 ,AddExp(49400);AddNimbus(24700);AddMoney(7410),"AddItemEx(4415,0,0,1)",,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,百蛮山山神祭祀大会,34,61,0,1,,,,1,61,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(14400);AddNimbus(7200);AddMoney(2160),,,,,0,,
1481,供奉山神的麝肉,34,61,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4370,10,4972,4370,0.5,10,,0,,0,99,45 ,AddExp(32400);AddNimbus(16200);AddMoney(4860),,,,,0,,
1482,祭祀大会的鲜果,34,61,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4371,15,4974,4371,1,15,,0,,0,99,45 ,AddExp(32400);AddNimbus(16200);AddMoney(4860),,,,,0,,
1483,供奉山神的玉帛,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1482),,,,,,0,0,0,4374,15,4978,4374,1,15,,0,,0,99,45 ,AddExp(32850);AddNimbus(16425);AddMoney(4995),,,,,0,,
1484,祭祀万灵的蛇血,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1481),,,,,,0,0,0,4375,10,4971,4375,0.5,10,,0,,0,99,45 ,AddExp(32850);AddNimbus(16425);AddMoney(4995),,,,,0,,
1485,祭祀大会落幕,34,62,0,1,,,,1,61,99,all,,CheckTaskFinished(1483);CheckTaskFinished(1484),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,45 ,AddExp(32850);AddNimbus(16425);AddMoney(4995),,,,,0,,
1486,祭司的制裁,34,63,0,1,,,,1,61,99,all,,,,,,,,0,0,0,4389,1,4984,4389,0.025,1,,0,,0,99,45 ,AddExp(33300);AddNimbus(16650);AddMoney(4995),,,,,0,,
1487,山神的愤怒,34,63,0,1,,,,1,61,99,all,,CheckTaskFinished(1486),,,,,,0,0,0,4390,1,4986,4390,0.025,1,,0,,0,99,55 ,AddExp(40700);AddNimbus(20350);AddMoney(6105),,,,,0,,
1488,忧心忡忡,34,63,0,1,,,,1,61,99,all,,CheckTaskFinished(1487),,,,,,0,0,0,4391,5,4987,4391,0.05,5,,0,,0,99,55 ,AddExp(40700);AddNimbus(20350);AddMoney(6105),,,,,0,,
1489,算破天机,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1488),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(15000);AddNimbus(7500);AddMoney(2280),,,,,0,,
1490,求助医师,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1489),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(15000);AddNimbus(7500);AddMoney(2280),,,,,0,,
1491,奇石雄黄,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1490),,,,,,0,0,0,4395,15,4994,4395,0.5,15,,0,,0,99,46 ,AddExp(34500);AddNimbus(17250);AddMoney(5244),,,,,0,,
1492,见血封喉,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1491),,,,,,0,0,0,4396,15,4991,4396,0.5,15,,0,,0,99,46 ,AddExp(34500);AddNimbus(17250);AddMoney(5244),,,,,0,,
1493,混世精元,34,65,0,1,,,,1,61,99,all,,CheckTaskFinished(1492),,,,,,0,0,0,4408,1,5003,4408,1,1,,0,,0,99,48 ,AddExp(36480);AddNimbus(18240);AddMoney(5472),,,,,0,,
1494,玄火精炼,34,65,0,1,,,,1,61,99,all,,CheckTaskFinished(1493),,,,,,0,0,0,4409,5,5007,4409,0.05,5,,0,,0,99,55 ,AddExp(41800);AddNimbus(20900);AddMoney(6270),,,,,0,,
1495,瑶池珍品,34,65,0,1,,,,1,61,99,all,,CheckTaskFinished(1494),,GetItemSpace >= 1,,,,0,0,0,4410,5,5009,4410,0.05,5,,0,,0,99,70 ,AddExp(53200);AddNimbus(26600);AddMoney(7980),"AddItemEx(4416,0,0,1)",,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,蹉跎岁月,34,63,0,1,,,,1,61,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(18500);AddNimbus(9250);AddMoney(2775),,,,,0,,
1497,小试牛刀,34,64,0,1,,,,1,61,99,all,,,,,,,,0,4993,25,0,0,0,0,0,0,,0,,0,99,49 ,AddExp(36750);AddNimbus(18375);AddMoney(5586),,,,,0,,
1498,古籍由来,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1497),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(18750);AddNimbus(9375);AddMoney(2850),,,,,0,,
1499,委以重任,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1498),,,,,,0,0,0,4397,5,4990,4397,0.05,5,,0,,0,99,55 ,AddExp(41250);AddNimbus(20625);AddMoney(6270),,,,,0,,
1500,蓄势待发,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1499),,,,,,0,4991,25,0,0,0,0,0,0,,0,,0,99,57 ,AddExp(42750);AddNimbus(21375);AddMoney(6498),,,,,0,,
1501,深入洞穴,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1500),,,,,,0,4992,25,0,0,0,0,0,0,,0,,0,99,58 ,AddExp(43500);AddNimbus(21750);AddMoney(6612),,,,,0,,
1502,古籍归一,34,64,0,1,,,,1,61,99,all,,CheckTaskFinished(1501),,,,,,0,0,0,4398,1,5028,4398,1,1,,0,,0,99,60 ,AddExp(45000);AddNimbus(22500);AddMoney(6840),,,,,0,,
1503,恩怨情仇,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1502),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,27 ,AddExp(20520);AddNimbus(10260);AddMoney(3078),,,,,0,,
1504,玄火归元,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1503),,,,,,0,0,0,4411,1,5007,4411,0.02,1,,0,,0,99,60 ,AddExp(45600);AddNimbus(22800);AddMoney(6840),,,,,0,,
1505,水灵归元,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1504),,,,,,0,0,0,4412,1,5005,4412,0.02,1,,0,,0,99,60 ,AddExp(45600);AddNimbus(22800);AddMoney(6840),,,,,0,,
