ID,Name,Desc
1,Lôi,
2,Lôi,
3,Lôi,
4,Th¥n,
5,Th¥n,
2304,"M£t NÕ Bí †n","Che gi¤u thân ph§n.",
2305,"Ngû Hành Tinh Höa","Tång 7% bÕo kích, 7% né tránh, 10% t¯c ðµ di chuy¬n, 10% gi¾i hÕn khí huyªt, 10 t¯c ðµ h°i pháp lñc, 10 t¯c ðµ h°i khí huyªt.",
2306,"Tång gi¾i hÕn HP 5%",
2307,"Tång phòng ngñ 5%",
2308,"Tång gi¾i hÕn HP 10%",
2309,"Tång phòng ngñ 10%",
2310,"Sinh m®nh chi höa","Th¤t bÕi khi chiªn ð¤u",
154,"Cß¶ng lñc h°i huyªt khí","Trong 15 giây h°i phøc 450 ði¬m th¬ lñc, có th¬ sØ døng trong lúc chiªn ð¤u, th¶i gian ch¶ phøc h°i là 15 giây.",
155,"Cß¶ng lñc h°i pháp lñc","Trong 15 giây h°i phøc 675 ði¬m th¬ lñc, có th¬ sØ døng trong lúc chiªn ð¤u, th¶i gian ch¶ phøc h°i là 15 giây.",
2045,"Tång kinh nghi®m","Tång 100% kinh nghi®m ðánh quái",
2311,"Giäm gi¾i hÕn HP","Giäm gi¾i hÕn HP",
2312,"Choáng váng",
2313,"Tång kinh nghi®m","Tång $EffParam1$% kinh nghi®m ðánh quái",
2314,"Giáng Sinh Biªn Hình Thu§t Nam",
2315,"Giáng Sinh Biªn Hình Thu§t Næ",
2316,"Ông Già Giáng Sinh Biªn Hình Thu§t",
2317,"Ngß¶i Tuyªt Biªn Hình Thu§t",
,,
,,
2318,"Giáng Sinh Công TØ Biªn Hình Thu§t Ti«n Trí ",
2319,"Giáng Sinh Ti¬u Thß Biªn Hình Thu§t Ti«n Trí ",
2320,"Ông Già Giáng Sinh Biªn Hình Thu§t Ti«n Trí ",
2321,"Ngß¶i Tuyªt Công TØ Biªn Hình Thu§t Ti«n Trí ",
2322,"Thiên Lí Mã Kí H÷a","Có th¬ nâng cao t¯c ðµ d¸ch chuy¬n.",
2323,"Soái Khí Biªn Thân Thu§t",
2324,"Vû Mi Biªn Thân Thu§t",
2325,"Ngßu Ngßu ÐÕi Hi®p Biªn Thân Thu§t",
2326,"Ngßu Ngßu Hi®p Næ Biªn Thân Thu§t",
2327,"Biªn Thân Thu§t LoÕi Khác",
2328,"MÛ Næ Biªn Thân Thu§t",
2329,"Soái Ca Biªn Thân Thu§t",
2330,"Soái Ca Biªn Thân Thu§t",
2331,"Khä Ái Biªn Thân Thu§t",
2332,"MÛ Næ Biªn Thân Thu§t",
2333,"Khä Ái Biªn Thân Thu§t",
2334,"Biªn Thân Thu§t LoÕi Khác",
8000,"Ngñ Thú","Có th¬ sØ døng KÜ Thú trong c¤m ð¸a trong 2 tiªng ð°ng h° ( K¬ cä kÜ thú chßa ðÕt ðªn +7 tr· lên )",
,,
1234,"H°i phøc th¬ lñc (Ti¬u Dß½ng Thông)","Hi®u quä do Thu¥n Thú Ti¬u Dß½ng Thông ðem ðªn, · trÕng thái không chiªn ð¤u m²i cÑ 2 giây mµt l¥n s¨ tång mµt lßþng HP tß½ng ðß½ng v¾i: LV süng v§t*(1+lßþng máu c½ bän cüa chü nhân*1/1000) . Tñ ðµng nh£t v§t ph¦m và ti«n vàng r¾t ra khi chü nhân ðánh quái.",
2046,"Thë kinh nghi®m","Tång $EffParam1$% kinh nghi®m, $EffParam2$% tinh lñc có ðßþc khi ðánh quái.",
2047,"Tång Linh Lñc (Mµc Công Th¥n Phù)","Tång linh lñc có ðßþc do ðánh quái lên $EffParam1$%.",
2048,"Tång Kinh Nghi®m (Linh Bäo Th¥n Phù)","Tång kinh nghi®m có ðßþc do ðánh quái lên $EffParam1$%.",
2049,"Tång Linh Lñc","Tång $EffParam1$% linh lñc thu ðßþc khi ðánh quái.",
2050,"Tång Kinh Nghi®m","Tång kinh nghi®m ðánh quái luy®n công lên 200%, có th¬ dùng chung v¾i nhæng v§t ph¦m tång kinh nghi®m khác.",
2335,"T¸ch lôi tØ hôn mê hi®u quä","Gây choáng váng trong vòng 60 giây",
2339,"Giác Ngµ cüa TrÕi Bào Giä (C¤m chï kÜ thú) ",
2340,"Tam Hoa Tø Ðïnh","Kinh nghi®m, linh lñc m²i loÕi tång 200% trong vòng 30 phút.",
5000,"Giäm h§n thù tÕm th¶i (Ly H§n Quyªt)","Giäm thù h§n giæa quái v§t và ngß¶i ch½i trong khoäng th¶i gian ng¡n.",
,,
2400,Effect,
2401,,
2402,,
2403,,
2404,,
2405,,
2406,"Tiên Ðan Cao C¤p","Tång SÑc mÕnh +20, Nhanh nh©n +20, Trí tu® +20, Th¬ lñc +20,  Gi¾i hÕn khí huyªt +1000, t¯c ðµ di chuy¬n +10%,trong 4 gi¶.",
2410,"Ph¥n Thß·ng PK Vß½ng Giä (Thanh Thành) ","Ph¥n thß·ng nhi®m vø PK Vß½ng Giä! Duy trì $EffParam2$ ngày, tång thêm $EffParam1$% khí huyªt.",
2411,"Ph¥n Thß·ng PK Vß½ng Giä (Ph§t Môn) ","Ph¥n thß·ng nhi®m vø PK Vß½ng Giä! Duy trì $EffParam2$ ngày, tång thêm $EffParam1$% khí huyªt.",
2412,"Ph¥n Thß·ng PK Vß½ng Giä (Nga Mi) ","Ph¥n thß·ng nhi®m vø PK Vß½ng Giä! Duy trì $EffParam2$ ngày, tång thêm $EffParam1$% khí huyªt.",
2413,"Ph¥n Thß·ng PK Vß½ng Giä (Bách Hoa) ","Ph¥n thß·ng nhi®m vø PK Vß½ng Giä! Duy trì $EffParam2$ ngày, tång thêm $EffParam1$% khí huyªt.",
2414,"Ph¥n Thß·ng PK Vß½ng Giä (Tiên C¥m) ","Ph¥n thß·ng nhi®m vø PK Vß½ng Giä! Duy trì $EffParam2$ ngày, tång thêm $EffParam1$% khí huyªt.",
,,
2700,"Nga My Nam Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
2701,"Ph§t Môn Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
2702,"Bách Hoa Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
2703,"Thanh Thành Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
2704,"Tiên C¥m Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
2705,"Nga My Næ Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
2706,"Nga My Nam Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
2707,"Ph§t Môn Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
2708,"Bách Hoa Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
2709,"Thanh Thành Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
2710,"Tiên C¥m Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
2711,"Nga My Næ Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
2712,"Nga My Nam Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
2713,"Ph§t Môn Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
2714,"Bách Hoa Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
2715,"Thanh Thành Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
2716,"Tiên C¥m Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
2717,"Nga My Næ Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
2718,"Tång t¯c ðµ h°i phøc pháp lñc và t¯c ðµ di chuy¬n","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân m²i 1 giây lên c¤p ðµ Thu¥n thú x (1.5 + pháp lñc c½ bän chü nhân * 0.5%), có th¬ dùng trong trÕng thái chiªn ð¤u, ð°ng th¶i tång t¯c ðµ di chuy¬n lên 9%",
2719,"Tång huyªt khí chü nhân","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên 20 + c¤p ðµ Thu¥n thú x (10 + khí huyªt c½ bän chü nhân x 1%), có th¬ tång t¯c ðµ h°i phøc huyªt khí cüa chü nhân m² 2 giây lên c¤p ðµ Thu¥n thú x (1 + khí huyªt c½ bän chü nhân x 0.2%), có th¬ dùng trong trÕng thái chiªn ð¤u.",
2720,"Tång t¯c ðµ h°i phøc pháp lñc và t¯c ðµ di chuy¬n","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân m²i 1 giây lên $EffParam1$ ði¬m, có th¬ dùng trong trÕng thái chiªn ð¤u, ð°ng th¶i tång t¯c ðµ di chuy¬n lên ",
2721,"Tång gi¾i hÕn khí huyªt","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m.",
2722,"Duy trì tång huyªt khí","Hi®u quä do Linh thú tÕo ra, khi · trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i phøc huyªt khí cüa chü nhân m²i giây lên $EffParam1$  ði¬m.",
2723,"Tång t¯c ðµ","Tång t¯c ðµ di chuy¬n lên 20%",
2724,"H± C¦u","Hi®u quä do Linh thú tÕo ra, tång 1% né tránh và 1% bÕo kích, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên 20 + c¤p ðµ Thu¥n thú x (10 + khí huyªt c½ bän chü nhân x 1.3%) .",
2725,"Tång Né Tránh BÕo Kích"," Hi®u quä do Thu¥n thú tÕo ra, tång 1% né tránh và 1% bÕo kích.",
2726,"Tång gi¾i hÕn khí huyªt (H± C¦u)","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m.",
2728,"Duy trì tång huyªt khí","Hi®u quä do Linh thú tÕo ra, khi · trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i phøc huyªt khí cüa chü nhân m²i giây lên $EffParam1$ ði¬m."
2729,"Tång t¯c ðµ h°i phøc pháp lñc và t¯c ðµ di chuy¬n","Hi®u quä do Thu¥n thú tÕo ra,có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên 20 + c¤p ðµ Thu¥n thú x (10 + khí huyªt c½ bän chü nhân x 1.3%), ð°ng th¶i tång t¯c ðµ di chuy¬n lên 9%"
2730,"Tång sÑc mÕnh","Tång 200 sÑc mÕnh cho chü nhân."
2731,"Tång Nhanh Nh©n","Tång 200 Nhanh Nh©n cho chü nhân."
2732,"Tång Trí Tu®","Tång 200 Trí Tu® cho chü nhân."
2733,"Tång Th¬ Lñc","Tång 200 Th¬ Lñc cho chü nhân."
2734,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 Nhanh Nh©n cho chü nhân",
2735,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 Trí Tu® cho chü nhân",
2736,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 Th¬ Lñc cho chü nhân",
2737,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 SÑc MÕnh cho chü nhân",
2738,"Thøc S½n Tam Gi¾i","Sau khi sØ døng s¨ tång 10% gi¾i hÕn khí huyªt trong 1 gi¶."
2739,"Trung Thu Vui Vë","Tång10% né tránh, 20% t¯c ðµ di chuy¬n, 10% gi¾i hÕn khí huyªt."
2740,"Stanta Claus","Hi®u quä do Linh thú tÕo ra, tång 1% né tránh và 1% bÕo kích, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên 20 + c¤p ðµ Thu¥n thú x (10 + khí huyªt c½ bän chü nhân x 0.7%) ."
2741,"Tång Né Tránh BÕo Kích"," Hi®u quä do Thu¥n thú tÕo ra, tång 1% né tránh và 1% bÕo kích."
2742,"Tång gi¾i hÕn khí huyªt (Santa Claus)","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m."
2743,"Tång t¯c ðµ","Tång t¯c ðµ di chuy¬n lên 30%"
2744,"Tång t¯c ðµ","Tång t¯c ðµ di chuy¬n lên 15%"
2745,"Tång t¯c ðµ","Hi®u quä do Linh thú tÕo ra, tång t¯c ðµ di chuy¬n lên 15%"
2746,"Huyªt Long","Hi®u quä do Linh thú tÕo ra, tång 1% né tránh và 1% bÕo kích, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên 20 + c¤p ðµ Thu¥n thú x (10 + khí huyªt c½ bän chü nhân x 1.8%) ."
2747,"Tång Né Tránh BÕo Kích"," Hi®u quä do Thu¥n thú tÕo ra, tång 1% né tránh và 1% bÕo kích, và tång t¯c ðµ di chuy¬n lên 20%"
2748,"Tång gi¾i hÕn khí huyªt (Huyªt Long)","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m."
2611,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 Trí Tu® cho chü nhân",
2612,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 SÑc MÕnh cho chü nhân",
2613,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 Trí Tu® cho chü nhân",
2614,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 Nhanh Nh©n cho chü nhân",
2615,"Huy«n Thiên Phøc M®nh","Tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân,Tång 200 Trí Tu® cho chü nhân",
