"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","","","","","","",""
"1245","Mang T£ng Thäo Dßşc","Giúp Tri®u Tâm Nguyên t£ng thäo dßşc cho Hoàng Huy«n Cñc.","Hi®n tÕi quân ğoàn Thanh Loa S½n ğã b¸ ğánh bÕi, ta mu¯n nh¶ ngß½i ğem thäo dßşc này ğªn t£ng cho ğÕo hæu Hoàng Huy«n Cñc cüa ta, phi«n ngß½i v§y nhé.","LoÕi thäo dßşc này r¤t t¯t, l¥n trß¾c cûng may ta có ng§m mµt ít, nªu không vªt thß½ng cû nh¤t ğ¸nh ğã tái phát.","Ngß½i nh¾ giæ kî ğ×ng làm m¤t dßşc thäo mà ta ğßa cho ngß½i ğ¤y.","Ha ha, thäo dßşc này quä nhiên dßşc hi®u th¥n kÏ! Ğa tÕ ngß½i nhé!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1246","Hái Linh Dßşc","Giúp Hoàng Huy«n Cñc hái mµt ít linh dßşc.","Trß¾c ğây vì sñ th¤t trách cüa ta mà ğã làm m¤t ğan dßşc cüa sß phø Huy«n Chân TØ, b¸ ngß¶i trøc xu¤t khöi sß môn, nay ta ğang thu th§p linh dßşc, chu¦n b¸ sau khi luy®n xong s¨ mang v« thïnh tµi. $username$,ngß½i có th¬ giúp ta l¤y mµt s¯ linh dßşc t× ch² Ğµc Kim Liên không?","C¦n th§n b÷n Ğµc Xà bên trong Ğµc Kim Liên!","Có b¸ Ğµc Xà trong Ğµc Kim Liên làm b¸ thß½ng không?","Th§t không d­ dàng, $username$, v¤t vä cho ngß½i quá!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1247","Trøc xu¤t Kinh Cúc Thú ","Giúp Hoàng Huy«n Cñc ğu±i b÷n Kinh Cúc Thú ği.","$username$, lúc nãy khi chúng ta hái thäo dßşc ğã làm kinh ğµng ğªn mµt s¯ Kinh Cúc Thú ¦n n¤p trong Kinh Cúc Lâm, nªu mu¯n tiªp tøc hái thu¯c thì phäi ğu±i b÷n chúng ği.","B÷n Kinh Cúc Thú này không d­ ğ¯i phó, ngß½i phäi hªt sÑc c¦n th§n.","Nguy hi¬m quá! Lúc nãy suıt næa ta ğã b¸ chúng ğä thß½ng phäi r°i ! Xem ra chúng ta phäi c¦n th§n h½n !","Chà! Ğu±i b÷n chúng ği ğã t¯n cüa chúng ta không ít công sÑc!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1248","Linh Bäo Nµi Ğan","Giúp Hoàng Huy«n Cñc tiêu di®t b÷n D¸ Hóa Kinh Cúc Thú ğ¬ l¤y Nµi Ğan.","Ta phát hi®n ra chính linh dßşc khiªn cho b÷n thú xung quanh tr· nên mÕnh h½n, h½n næa Phi Kiªm cüa ta tr· nên vô cùng mçn cäm nên ta nghî thª nào trong bøi Kinh Cúc cûng có r¤t nhi«u D¸ Hóa Kinh Cúc Thú cñc mÕnh, b÷n chúng nh¤t ğ¸nh ğã h¤p thø tinh hoa linh dßşc luy®n thành nµi ğan, r¤t khó ğ¯i phó. $username$, chúng ta phäi c¦n th§n !","B÷n D¸ Hóa Kinh Cúc Thú này r¤t giäo hoÕt, ngß½i phäi hªt sÑc c¦n th§n!","Vi®c ta giao cho ngß½i ğã làm ğªn ğâu r°i?","B÷n D¸ Hóa Kinh Cúc Thú này quä th§t khó ğ¯i phó! Cûng may nh¶ có ngß½i m¾i có th¬ thu§n lşi tiêu di®t b÷n chúng, v¤t vä cho ngß½i quá!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1249","Trß¶ng Sa Chi Dßşc","Giúp Hoàng Huy«n Cñc gØi thß tín ğªn cho Chü Quán Trß¶ng Sa TØu L¥u.","$username$, ta ğã h©n v¾i HÑa Vi®t là s¨ g£p m£t · Trß¶ng Sa, nhßng do m¾i có ğßşc nµi ğan, c¥n phäi luy®n thêm, tÕm th¶i không th¬ ği ğßşc, chï còn cách viªt mµt bÑc thß, nh¶ ngß½i mang ğªn cho Chü Quán Trß¶ng Sa TØu L¥u, bäo ông ¤y ch¶ HÑa Vi®t ğªn thì ğßa cho y.","Phi«n ngß½i ği ğªn Trß¶ng Sa mµt chuyªn.","Nh¾ giæ kî ğ×ng làm m¤t thß ğ¤y.","! Thì ra là Hoàng Huy«n Cñc phái ngß½i mang thß ğªn, v¤t vä cho ngß½i quá!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1250","Kinh Cúc héo tàn","Giúp Hoàng Huy«n Cñc tiêu di®t mµt s¯ quái v§t xu¤t hi®n trong Kinh Cúc Lâm.","Quái v§t trong Kinh Cúc Lâm ğúng là c½ hµi t¯t cho ngß½i rèn luy®n thân thü! Nªu ngß½i mu¯n tr· nên mÕnh h½n thì có th¬ luy®n t§p · ğây mµt chút.","Quái v§t trong Kinh Cúc Lâm r¤t nhi«u, là n½i thích hşp ğ¬ luy®n thân thü.","Ngß½i nên c¦n th§n, tuy b÷n chúng có th¬ không phäi là ğ¯i thü cüa ngß½i, nhßng cûng không ğßşc phép khinh su¤t!","», khá l¡m! Khá l¡m! Tiªn bµ r¤t nhi«u!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1251","Kinh Cúc héo tàn","Giúp Hoàng Huy«n Cñc tiêu di®t mµt s¯ quái v§t xu¤t hi®n trong Kinh Cúc Lâm.","Quái v§t trong Kinh Cúc Lâm ğúng là c½ hµi t¯t cho ngß½i rèn luy®n thân thü! Nªu ngß½i mu¯n tr· nên mÕnh h½n thì có th¬ luy®n t§p · ğây mµt chút.","Quái v§t trong Kinh Cúc Lâm r¤t nhi«u, là n½i thích hşp ğ¬ luy®n thân thü.","Ngß½i nên c¦n th§n, tuy b÷n chúng có th¬ không phäi là ğ¯i thü cüa ngß½i, nhßng cûng không ğßşc phép khinh su¤t!","», khá l¡m! Khá l¡m! Tiªn bµ r¤t nhi«u!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1252","Kinh Cúc héo tàn","Giúp Hoàng Huy«n Cñc tiêu di®t mµt s¯ quái v§t xu¤t hi®n trong Kinh Cúc Lâm.","Quái v§t trong Kinh Cúc Lâm ğúng là c½ hµi t¯t cho ngß½i rèn luy®n thân thü! Nªu ngß½i mu¯n tr· nên mÕnh h½n thì có th¬ luy®n t§p · ğây mµt chút.","Quái v§t trong Kinh Cúc Lâm r¤t nhi«u, là n½i thích hşp ğ¬ luy®n thân thü.","Ngß½i nên c¦n th§n, tuy b÷n chúng có th¬ không phäi là ğ¯i thü cüa ngß½i, nhßng cûng không ğßşc phép khinh su¤t!","», khá l¡m! Khá l¡m! Tiªn bµ r¤t nhi«u!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1253","N²i lo v« nÕn løc phï","Giúp Ti¬u Nh¸ TØu L¥u giáo hu¤n b÷n Lµ Bá.","Do b÷n Lµ Bá hoành hành g¥n vùng Tß½ng Giang, ğã kéo ğªn ngoài c±ng thành, mà s¯ lßşng quan binh thì lÕi không ğü, không th¬ ğ¸ch n±i, vì v§y m÷i ngß¶i ğ«u không dám ra ngoài kiªm s¯ng, chï biªt tø t§p trong tØu l¥u than th·, m÷i ngß¶i ğ«u mu¯n tìm ngß¶i giúp ğŞ tiêu di®t b÷n th± phï Lµ Bá, $username$, ngß¶i có ğ°ng ı giúp chúng tôi không?","S¯ lßşng b÷n chúng r¤t ğông, ngß½i nên c¦n th§n.","B÷n Lµ Bá này r¤t hung ác, phäi dÕy cho b÷n chúng mµt bài h÷c.","Ha ha! Có ngß¶i · ğây thì Trß¶ng Sa Tr¤n cüa chúng tôi có phúc r°i!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1254","Tß½ng Giang Ngß Phu","Giúp Ti¬u Nh¸ TØu L¥u giáo hu¤n Tß½ng Giang Ngß Phu.","B÷n ğÕo t£c ğã b¸ tiêu di®t không ít, nhßng lúc trên ğß¶ng ği qua Tß½ng Giang, phát hi®n th¤y có r¤t nhi«u ğÕo t£c cäi trang thành ngß phu, m÷i ngß¶i ğang nghî cách xØ lı b÷n chúng. $username$, ngß½i ğ°ng ı giúp chúng tôi chÑ?","S¯ lßşng b÷n chúng r¤t ğông, ngß½i nên c¦n th§n.","B÷n ğÕo t£c này thß¶ng giä làm ngß phu ğ¬ cß¾p cüa ngß¶i ği ğß¶ng, c¥n phäi dÕy cho chúng mµt bài h÷c.","B÷n ğÕo t£c này th§t không d­ ğ¯i phó, ğa tÕ ngß¶i nhi«u l¡m!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1255","Tiêu di®t sào huy®t th± phï ","Giúp Ti¬u Nh¸ TØu L¥u giáo hu¤n b÷n Tß½ng Giang Th± Phï.","Bên ngoài Trß¶ng Sa Tr¤n g¥n ğây xu¤t hi®n nhi«u b÷n ngß¶i lén lút, thì ra n½i ğây chính là hang ± cüa b÷n Tß½ng Giang Th± Phï, chï khi tiêu di®t sÕch b÷n chúng thì n½i ğây m¾i có th¬ yên ±n. $username$, ngß½i ğ°ng ı giúp chúng tôi không?","S¯ lßşng b÷n chúng r¤t ğông, ngß½i nên c¦n th§n.","Nh¤t ğ¸nh phäi d÷n sÕch ± th± phï này !","Quá t¯t r°i! Cu¯i cùng cûng ğã d÷n sÕch sào huy®t cüa b÷n th± phï!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1256","Trß¶ng Sa Ğ¸a Bî","Giúp Ti¬u Nh¸ TØu L¥u giáo hu¤n b÷n Ğ¸a Bî.","Trß¶ng Sa Tr¤n tuy nhö, nhßng b÷n côn ğ° Ğ¸a Bî lÕi không ít, cä ngày chï toàn ği qu¤y nhi­u dân chúng. Vì cuµc s¯ng yên lành cüa thôn dân, nh¤t ğ¸nh phäi ğu±i b÷n chúng ği. $username$, ngß½i b¢ng lòng giúp chúng tôi không?","S¯ lßşng b÷n chúng r¤t ğông, ngß½i nên c¦n th§n.","B÷n Ğ¸a Bî thß¶ng hoÕt ğµng theo s¯ ğông, ngß½i phäi c¦n th§n!","Th§t không d­ chút nào, $username$, v¤t vä cho ngß½i r°i!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1257","Tr× bÕo Trß¶ng Sa","Giúp Ti¬u Nh¸ TØu L¥u giáo hu¤n b÷n Ác Kh¤t Cái.","Có mµt b÷n kh¤t cái ğã chiªm cÑ c¥u Tß½ng Giang, thu ti«n mãi lµ cüa khách qua ğß¶ng, nhæng ngß¶i qua ğó không biªt phäi làm sao. $username$, ngß½i b¢ng lòng giúp chúng tôi không?","S¯ lßşng b÷n chúng r¤t ğông, ngß½i nên c¦n th§n.","Ğ×ng quên vi®c mà chúng tôi ğã nh¶ ngß¶i nhé!","Th§t ğa tÕ ngß½i, Trß¶ng Sa tr¤n t× nay s¨ tr· v« cänh yên bình nhß xßa.","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1258","Nhi®m vø Trß¶ng Sa Anh Hùng","Giúp Chü Quán Trß¶ng Sa TØu L¥u giáo hu¤n b÷n ác nhân xung quanh Trß¶ng Sa tr¤n.","Chúng ta c¥n mµt v¸ kÏ hi®p xu¤t chúng!  Mµt v¸ kÏ hi®p có th¬ giäi thoát chúng ta ra khöi n½i b¸ bao vây b·i b÷n x¤u này! Chúng ta ğã chu¦n b¸ mµt ph¥n thß·ng h§u hînh, nªu ngß½i có thñc lñc và lòng can ğäm thì hãy ğªn tiªp nh§n nhi®m vø cüa ta.","Ngß½i phäi c¦n th§n, b÷n ngß¶i ğó không d­ ğ¯i phó ğâu!","C¯ g¡ng lên! M÷i ngß¶i · ğây ch¶ tin t¯t cüa ngß½i!","Th§t không th¬ tin ğßşc, $username$, thân thü cüa ngß½i th§t phi phàm!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1259","Nhi®m vø Trß¶ng Sa Anh Hùng","Giúp Chü Quán Trß¶ng Sa TØu L¥u giáo hu¤n b÷n ác nhân xung quanh Trß¶ng Sa tr¤n.","Chúng ta c¥n mµt v¸ kÏ hi®p xu¤t chúng!  Mµt v¸ kÏ hi®p có th¬ giäi thoát chúng ta ra khöi n½i b¸ bao vây b·i b÷n x¤u này! Chúng ta ğã chu¦n b¸ mµt ph¥n thß·ng h§u hînh, nªu ngß½i có thñc lñc và lòng can ğäm thì hãy ğªn tiªp nh§n nhi®m vø cüa ta.","Ngß½i phäi c¦n th§n, b÷n ngß¶i ğó không d­ ğ¯i phó ğâu!","C¯ g¡ng lên! M÷i ngß¶i · ğây ch¶ tin t¯t cüa ngß½i!","Th§t không th¬ tin ğßşc, $username$, thân thü cüa ngß½i th§t phi phàm!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1260","Nhi®m vø Trß¶ng Sa Anh Hùng","Giúp Chü Quán Trß¶ng Sa TØu L¥u giáo hu¤n b÷n ác nhân xung quanh Trß¶ng Sa tr¤n.","Chúng ta c¥n mµt v¸ kÏ hi®p xu¤t chúng!  Mµt v¸ kÏ hi®p có th¬ giäi thoát chúng ta ra khöi n½i b¸ bao vây b·i b÷n x¤u này! Chúng ta ğã chu¦n b¸ mµt ph¥n thß·ng h§u hînh, nªu ngß½i có thñc lñc và lòng can ğäm thì hãy ğªn tiªp nh§n nhi®m vø cüa ta.","Ngß½i phäi c¦n th§n, b÷n ngß¶i ğó không d­ ğ¯i phó ğâu!","C¯ g¡ng lên! M÷i ngß¶i · ğây ch¶ tin t¯t cüa ngß½i!","Th§t không th¬ tin ğßşc, $username$, thân thü cüa ngß½i th§t phi phàm!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1261","Nguy c½ Lång Phü","Giúp Ti¬u Nh¸ TØu L¥u truy«n tin cho Lång Phü Gia Ğinh.","$username$, La CØu cách ğây không lâu v×a bày yªn ti®c tÕi TØu L¥u, dß¶ng nhß ğang nghî cách ğ¯i phó v¾i Thành B¡c Lång Lão Anh Hùng. La CØu l¥n trß¾c lúc b¸ thß½ng ğã t×ng ğßşc Lång Lão Anh Hùng chæa tr¸ nên l¥n này không dám trñc tiªp ra tay, ğã nh¶ Phích L¸ch Thü - Úy Trì Nguyên dçn binh lính thay m£t. H÷ v×a m¾i kh·i hành không lâu, nªu ngß¶i ği nhanh vçn có th¬ ğu±i k¸p, vì v§y ta mu¯n nh¶ ngß½i ğªn thông báo cho Lång Phü Gia Ğinh mµt tiªng.","Th¶i gian ğã g¤p l¡m r°i, ngß¶i nên nhanh mµt chút!","Sao ngß¶i vçn · lÕi ğây? Hãy mau mau tiªn hành thôi!","! Thì ra là v§y! Cûng may có ngß½i k¸p th¶i thông báo. Xin ğa tÕ.","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1262","Lång Phü ngoÕi vi","Giúp Lång Phü Gia Ğinh ğánh ğu±i Tr¥n Gia Gia Ğinh","$username$, hi®n tÕi xung quanh ğ«u ğã b¸ Tr¥n Gia Gia Ğinh tr¤n giæ, nguyên nhân là do Tr¥n Gia trang chü ham mê s¡c ğ©p cüa Lång Gia ti¬u thß, mu¯n ğªn c¥u thân, nhßng Lång Gia trang chü t× lâu ğã ghét thói Ñc hiªp dân lành cüa Tr¥n Gia, vì v§y ğã quyªt ğ¸nh gä ti¬u thß cho ngß¶i khác. Úy Trì Nguyên th¤y vi®c không thành, li«n ğªn bao vây ğ¸nh t¤n công Lång Phü. Không biªt ngß½i có b¢ng lòng ğánh ğu±i b÷n Tr¥n Gia Gia Ğinh không ?","B÷n Tr¥n Gia Gia Ğinh này r¤t ğµc ác, nh¤t ğ¸nh phäi cho chúng mµt bài h÷c","B÷n Tr¥n Gia Gia Ğinh này r¤t ğµc ác, nh¤t ğ¸nh phäi cho chúng mµt bài h÷c","Ha ha, b÷n Tr¥n Gia Gia Ğinh kh¯n kiªp này r¯t cuµc cûng ğã b¸ ğánh ğu±i r°i!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1263","Nghîa trş Lång Phü","Giúp Lång Phü Gia Ğinh ğánh ğu±i Tr¥n Gia Giáo Ğ¥u","Nµi ngoÕi Lång Phü ğ«u ğuşc canh ch×ng nghiêm ng£t b·i b÷n Tr¥n Gia Giáo Ğ¥u, b÷n chúng ğ«u là nhæng tên chï huy cüa b÷n gia ğinh kia, vì v§y tuy®t ğ¯i không th¬ tha cho b÷n chúng mà phäi ğu±i chúng ra khöi Lång Phü! $username$, vi®c này xin nh¶ ngß½i!","Quân s¯ b÷n chúng r¤t ğông, ngß½i phäi c¦n th§n ğ¤y.","Tr¥n Gia Giáo Ğ¥u quä thñc khó ğ¯i phó, ngß½i phäi c¦n th§n ğ¤y!","Th§t không d­ chút nào, $username$, v¤t vä cho ngß½i r°i!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1264","Ti¬u tr×ng Phích L¸ch Thü","Giúp Lång Phü Gia Ğinh giáo hu¤n Phích L¸ch Thü - Úy Trì Nguyên cüa Tr¥n Gia Trang.","Úy Trì Nguyên trên giang h° cûng có chút tiªng tåm, là mµt ğÕi tß¾ng cüa Tr¥n Gia Trang, l¥n này h¡n dçn mµt s¯ tß¾ng lînh ğªn xâm phÕm Lång Phü, hành vi ğµc ác, không th¬ dung tha, $username$, tôi th¤y · ğây chï có ngß½i là ğü khä nång ğß½ng ğ¥u v¾i h¡n, không biªt ngß½i có b¢ng lòng ch¤p nh§n khiêu chiªn v¾i h¡n không?","Phích L¸ch Thü - Úy Trì Nguyên không phäi là kë t¥m thß¶ng, ngß½i phäi c¦n th§n.","Nªu ngß¶i cäm th¤y khó lòng ğ¯i phó, có th¬ tri®u t§p mµt s¯ ğÕo hæu ğªn trş giúp.","Th§t ğa tÕ ngß½i, cûng may nh¶ có ngß½i mà Lång Phü cüa chúng tôi m¾i có th¬ hóa nguy thành an.","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1265","V¤n trách Tr¥n Gia Trang","Giúp Lång Lão Anh Hùng ğem thß tín ğªn cho Tr¥n Nh¸ Trang Chü - Tr¥n Trß¶ng C¯c","Tên trang chü Tr¥n Gia Trang này th§t chÆng ra sao! $username$, · ğây có mµt phong thß, nh¶ ngß½i mang ğªn trao cho Tr¥n Nh¸ Trang Chü Tr¥n Trß¶ng C¯c. Làm phi«n ngß½i, trên ğß¶ng ği có th¬ s¨ còn g£p phäi ngß¶i cüa Tr¥n Gia Trang, ngß½i phäi c¦n th§n.","Nh¾ giæ thß c¦n th§n ğ×ng làm m¤t.","Mau ği thôi, vi®c này r¤t quan tr÷ng, tuy®t ğ¯i không th¬ trì hoãn."," ! Thì ra là Lång Lão Anh Hùng nh¶ ngß½i mang thß ğªn, v¤t vä cho ngß½i quá.","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1266","Ra tay nghîa hi®p","Giúp Lång Lão Anh Hùng giáo hu¤n thü hÕ Tr¥n Gia Trang xung quanh Lång Phü.","Tr¥n Gia Trang trang chü quä thñc ép ngß¶i quá ğáng, vì ham mê s¡c ğ©p cüa Lång gia ti¬u thß mà phái b÷n ác t£c trong nhà liên tiªp qu¤y nhi­u Lång Phü, mu¯n ğem vi®c này ra ğ¬ ép ta gä con gái cüa mình cho h¡n. Ta hy v÷ng ngß½i có th¬ giúp ta giáo hu¤n b÷n ác nhân này, nªu không b÷n chúng s¨ tiªp tøc làm càn.","Phäi cho b÷n chúng mµt bài h÷c, ğ¬ ch×a thói hà hiªp ngß¶i khác!","C¯ g¡ng lên! Chúng ta · ğây ch¶ tin t¯t cüa ngß½i!","Th§t không th¬ tin ğßşc, $username$, thân thü cüa ngß½i th§t phi phàm!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1267","Ra tay nghîa hi®p","Giúp Lång Lão Anh Hùng giáo hu¤n thü hÕ Tr¥n Gia Trang xung quanh Lång Phü.","Tr¥n Gia Trang trang chü quä thñc ép ngß¶i quá ğáng, vì ham mê s¡c ğ©p cüa Lång gia ti¬u thß mà phái b÷n ác t£c trong nhà liên tiªp qu¤y nhi­u Lång Phü, mu¯n ğem vi®c này ra ğ¬ ép ta gä con gái cüa mình cho h¡n. Ta hy v÷ng ngß½i có th¬ giúp ta giáo hu¤n b÷n ác nhân này, nªu không b÷n chúng s¨ tiªp tøc làm càn.","Phäi cho b÷n chúng mµt bài h÷c, ğ¬ ch×a thói hà hiªp ngß¶i khác!","C¯ g¡ng lên! Chúng ta · ğây ch¶ tin t¯t cüa ngß½i!","Th§t không th¬ tin ğßşc, $username$, thân thü cüa ngß½i th§t phi phàm!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1268","Ra tay nghîa hi®p","Giúp Lång Lão Anh Hùng giáo hu¤n thü hÕ Tr¥n Gia Trang xung quanh Lång Phü.","Tr¥n Gia Trang trang chü quä thñc ép ngß¶i quá ğáng, vì ham mê s¡c ğ©p cüa Lång gia ti¬u thß mà phái b÷n ác t£c trong nhà liên tiªp qu¤y nhi­u Lång Phü, mu¯n ğem vi®c này ra ğ¬ ép ta gä con gái cüa mình cho h¡n. Ta hy v÷ng ngß½i có th¬ giúp ta giáo hu¤n b÷n ác nhân này, nªu không b÷n chúng s¨ tiªp tøc làm càn.","Phäi cho b÷n chúng mµt bài h÷c, ğ¬ ch×a thói hà hiªp ngß¶i khác!","C¯ g¡ng lên! Chúng ta · ğây ch¶ tin t¯t cüa ngß½i!","Th§t không th¬ tin ğßşc, $username$, thân thü cüa ngß½i th§t phi phàm!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1269","Truy«n thß Ğ¾i Gia Trß¶ng","Giúp Lång Lão Anh Hùng mang thß tín ğªn cho Du Xung Trung.","Ta ğoán ngß¶i cüa Tr¥n Gia Trang s¨ gây b¤t lşi cho Ğ¾i Gia Trß¶ng. $username$, ta nh¶ ngß½i mang thß này ğªn cho chu¦n næ tª Du Xung Trung · Ğ¾i Gia Trß¶ng có ğßşc không?","Nh¾ giæ thß c¦n th§n ğ×ng làm m¤t.","Mau ği thôi, vi®c này r¤t quan tr÷ng, tuy®t ğ¯i không th¬ trì hoãn.","! Thì ra là Lång Lão Anh Hùng nh¶ ngß½i mang thß ğªn, v¤t vä cho ngß½i quá.","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1270","S½ chiªn Ğ¾i Gia Trß¶ng","Giúp thôn dân b¸ thß½ng tiêu di®t Binh Lính Tr¥n Gia Trang.","$username$, l¯i vào Ğ¾i Gia Trß¶ng ğã b¸ ngß¶i cüa Tr¥n Gia Trang chiªm lînh. Ta cûng b¸ chúng ğánh b¸ thß½ng, mµt mình không th¬ ch¯ng cñ n±i, ngß½i có th¬ giúp ta cùng ği giáo hu¤n b÷n chúng không?","Quân s¯ b÷n chúng r¤t ğông, ngß½i phäi c¦n th§n ğ¤y.","B÷n ngß¶i ğó quä thñc không d­ ğ¯i phó!","Ğa tÕ ngß½i ğã giúp ta giäi vây! Hôm nay may m¡n g£p ğßşc ngß½i, nªu không ta ğã s¾m m¤t mÕng r°i.","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1271","Tiêu di®t Ti¬u T¯t Tr¥n Gia Trang","Giúp Du Xung Trung ğánh ğu±i b÷n Ti¬u T¯t Tr¥n Gia Trang.","Không ng¶ sñ vi®c lÕi di­n biªn ğªn nß¾c này, ngß¶i cüa Tr¥n Gia Trang ğã ğu±i ğªn t§n c±ng Ğ¾i Gia Trß¶ng, tình thª th§t là nguy c¤p... Vi®c chúng ta c¥n làm bây gi¶ là phäi ğánh ğu±i b÷n Ti¬u T¯t Tr¥n Gia Trang ra khöi Ğ¾i Gia Trß¶ng.","Quân s¯ b÷n chúng r¤t ğông, ngß½i phäi c¦n th§n ğ¤y.","B÷n chúng quä th§t ğµc ác! Nh¤t ğ¸nh phäi ğu±i chúng ği!","Ha ha, không ng¶ chúng có mµt ğòn cûng không ch¸u n±i, v¤t vä cho ngß½i r°i.","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1272","Tiêu di®t Gia Tß¾ng Tr¥n Gia Trang","Giúp Du Xung Trung ğánh ğu±i Gia Tß¾ng Tr¥n Gia Trang.","Hóa ra b÷n Ti¬u T¯t Tr¥n Gia Trang kia yªu ¾t nhß v§y là do cáo mßşn oai hùm. B÷n Gia Tß¾ng xung quanh Ğ¾i Gia Trß¶ng m¾i th§t sñ khó ğ¯i phó, b÷n chúng là giáo ğ¥u cüa ğám gia ğinh, có chút công phu, ngß½i phäi c¦n th§n!","Quân s¯ b÷n chúng r¤t ğông, ngß½i phäi c¦n th§n ğ¤y.","Tình hình xem ra có vë không t¯t, ngß½i phäi c¦n th§n!","Nguy hi¬m quá, gia tß¾ng quä thñc khó ğ¯i phó.","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1273","Ğánh bÕi Tr¥n Gia Trang binh th¯ng soái - Ngû Hoa Phong - Thôi Thiên Thø ","Giúp Du Xung Trung tiêu di®t Tr¥n Gia Trang binh th¯ng soái - Ngû Hoa Phong - Thôi Thiên Thø ","B÷n binh tß¾ng Tr¥n Gia Trang còn lÕi mµt tên th¯ng soái cu¯i cùng là Thôi Thiên Thø! T¤t cä b÷n ngß¶i ğªn vây ğánh chúng ta ğ«u do h¡n chï ğÕo, chï khi ğánh bÕi ğßşc h¡n m¾i kh¯ng chª ğßşc thª lñc cüa b÷n chúng, ngß½i ğã chu¦n b¸ kî chßa?","H¡n có th¬ là cao thü nh¤t ğÆng, ngß½i phäi c¦n th§n ğ¤y.","Thôi Thiên Thø th§t không d­ ğ¯i phó, là th¯ng soái cüa Tr¥n Gia Trang thì ¡t hÆn phäi là mµt nhân v§t ğáng g¶m. Ngß½i hãy tri®u t§p thêm ğÕo hæu ğªn trş giúp ği.","Quá t¯t r°i! L¥n này ta xem Tr¥n Gia Trang còn dám ngang ngßşc næa không?","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1274","Tr§n chiªn Ğ¾i Gia Trß¶ng","Giúp Du Xung Trung giáo hu¤n b÷n gia binh Tr¥n Gia Trang hoành hành · Ğ¾i Gia Trß¶ng.","Tr¥n Gia Trang không chï Ñc hiªp Lång Lão Anh Hùng cüa Lång Phü, b¡t ông ¤y phäi gä con gái cho chúng, mà còn phái ngß¶i ğªn Ğ¾i Gia Trß¶ng gi· thói càn rŞ, ğây quä th§t là chÆng xem Du Xung Trung ta ra gì. Ta phäi giáo hu¤n b÷n chúng ğ¬ hä c½n gi§n này ! Ngß½i có b¢ng lòng cùng ta ği giáo hu¤n chúng không?"," thª hiªp ngß¶i, th§t là quá qu¡t!","C¯ g¡ng lên! Chúng ta · ğây ch¶ tin t¯t cüa ngß½i!","Th§t không th¬ tin ğßşc, $username$, thân thü cüa ngß½i th§t phi phàm!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
"1275","Tr§n chiªn Ğ¾i Gia Trß¶ng","Giúp Du Xung Trung giáo hu¤n b÷n gia binh Tr¥n Gia Trang hoành hành · Ğ¾i Gia Trß¶ng.","Tr¥n Gia Trang không chï Ñc hiªp Lång Lão Anh Hùng cüa Lång Phü, b¡t ông ¤y phäi gä con gái cho chúng, mà còn phái ngß¶i ğªn Ğ¾i Gia Trß¶ng gi· thói càn rŞ, ğây quä th§t là chÆng xem Du Xung Trung ta ra gì. Ta phäi giáo hu¤n b÷n chúng ğ¬ hä c½n gi§n này ! Ngß½i có b¢ng lòng cùng ta ği giáo hu¤n chúng không?"," thª hiªp ngß¶i, th§t là quá qu¡t!","C¯ g¡ng lên! Chúng ta · ğây ch¶ tin t¯t cüa ngß½i!","Th§t không th¬ tin ğßşc, $username$, thân thü cüa ngß½i th§t phi phàm!","Không sao, vçn còn có l¥n sau mà","","","","","","",""
