基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,00,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,1,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,掉落金装是否广播,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,是否可在SpcBoss中查找,SpcBoss中的详细描述(xml文件地址),备注(Npc简单描述)
4740,魔宫五魔公孙武,$L:npc_4325$,1,3,,4325,1,,,600,20,,3,1,1,,2;3;4,,1634,120,0,323,23,406,20,,"1167,1;1203,1;",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5508,0;0;0;0;0;0;0;,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
4741,魔宫八魔邱舟令,$L:npc_4326$,1,3,,4326,1,,,600,20,,3,1,1,,2;3;4,,1634,120,0,323,23,406,20,,"1200,1;1201,1;",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5507,0;0;0;0;0;0;0;,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
4742,千年水蛭,$L:npc_4494$,1,3,,4461,1,,,600,20,,3,1,1,,2;3;4,,1634,120,0,323,23,406,20,,"1183,1;1184,1;",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5509,0;0;0;0;0;0;0;,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
4743,鬼道人乔瘦滕,$L:npc_4500$,1,3,,4468,1,,,600,20,,3,1,1,,2;3;4,,1634,120,0,323,23,406,20,,"1176,1;1202,1;",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5500,0;0;0;0;0;0;0;,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
4744,魅影蝙蝠,$L:npc_4744$,1,3,,4387,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4745,黑马熊游卒,$L:npc_4745$,1,3,,4393,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4746,山魈战士,$L:npc_4746$,1,3,,4398,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4747,灵石护卫,$L:npc_4747$,1,3,,4403,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4748,木魃统领,$L:npc_4748$,1,3,,4408,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4749,湘江渔夫,$L:npc_4749$,1,3,,4560,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4750,毒乞丐,$L:npc_4750$,1,3,,4559,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4751,幻魔者,$L:npc_4751$,1,3,,4314,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4752,割喉者,$L:npc_4752$,1,3,,4315,1,,,100,45,,,,,,,,2187,120,0,150,45,813,20,,,,,813;813;813;813;813,60,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,,,,
4753,守望者,$L:npc_4753$,1,3,,4316,1,,,100,45,,,,,,,,2187,120,0,150,45,813,1148,,,,,813;813;813;813;813,200,120,3,280,47,,,,,,,5512;5513;5514;5515;5516,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0;",0.12;0.08;0.05;0.03;0.01,,,,,,,,,,,,,,,,,,,1,,,
4754,魔神侍卫,$L:npc_4754$,1,3,,2912,1,,,100,45,,,,,,,,2187,120,0,150,45,813,4402,,,,,813;813;813;813;813,100,120,3,280,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,李半仙(美),$L:npc_433$,1,3,,38,0,,,100,30,,,,0,,,,983,600,0,76,32,569,20,,"1133,0.1",,,569;569;569;569;569,60,120,3,205,34,4200,0.5,,,0.3;0;0;,,,,,,,,279;-523;1,talk;shop;registerequip;task,talk/npc_talk_433.xml,300;491;829;869;870;871;1678;1679;1680;1681,300;491;829;869;870;871;1678;1679;1680;1681,,,,,,,,,,,,,,,
4756,徐岳肉身,$L:npc_4756$,1,3,,4558,1,,,100,55,,24,10,1,,2;3;4,,81745,0,0,2175,19,975,20,,,,,975;975;975;975;975,60,120,3,7920,1320,158400,0.5,4,5025;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1330;,,,,,,,,,,,,,,
4757,尉迟元肉身,$L:npc_4757$,1,3,,4572,1,,,100,56,,24,10,1,,2;3;4,,85194,0,0,2251,19,991,20,,,,,991;991;991;991;991,60,120,3,8040,1340,163200,0.5,4,5023;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1330;,,,,,,,,,,,,,,
4758,崔天绶肉身,$L:npc_4758$,1,3,,4573,1,,,100,57,,24,10,1,,2;3;4,,88746,0,0,2329,19,1008,1243,,,,,1008;1008;1008;1008;1008,200,120,3,8160,1360,163200,0.5,4,5026;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1331;,,,,,,,,,,,,,,
4759,陈长谷肉身,$L:npc_4759$,1,3,,4574,1,,,100,58,,24,10,1,,2;3;4,,92402,0,0,2409,19,1024,20,,,,,1024;1024;1024;1024;1024,60,120,3,8280,1380,168000,0.5,4,5024;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1331;,,,,,,,,,,,,,,
4760,吕四肉身,$L:npc_4760$,1,3,,4575,1,,,100,59,,24,10,1,,2;3;4,,96164,0,0,2490,19,1040,20,,,,,1040;1040;1040;1040;1040,60,120,3,8400,1400,168000,0.5,4,5027;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1332;840;841;842;843;844;845;492;495,,,,,,,,,,,,,,
4761,吕三肉身,$L:npc_4761$,1,3,,4576,1,,,100,60,,24,10,1,,2;3;4,,100035,0,0,2573,19,1056,20,,,,,1056;1056;1056;1056;1056,60,120,3,8520,1420,172800,0.5,4,5025;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1332;840;841;842;843;844;845;492;495,,,,,,,,,,,,,,
4762,徐岳元神,$L:npc_4762$,1,3,,4621,1,,,100,55,,30,10,1,,2;3;4,,102182,0,0,2175,19,975,20,,,,,975;975;975;975;975,60,120,3,9900,1650,198000,0.5,4,5025;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1333;840;841;842;843;844;845;492;495,,,,,,,,,,,,,,
4763,尉迟元元神,$L:npc_4763$,1,3,,4622,1,,,100,56,,30,6.5,1,,2;3;4,,106493,0,0,1463,19,991,20,,,,,991;991;991;991;991,60,120,3,10050,1675,204000,0.5,4,5023;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1333;840;841;842;843;844;845;492;495,,,,,,,,,,,,,,
4764,崔天绶元神,$L:npc_4764$,1,3,,4623,1,,,100,57,,30,6.5,1,,2;3;4,,110932,0,0,1514,19,1008,1243,,,,,1008;1008;1008;1008;1008,200,120,3,10200,1700,204000,0.5,4,5026;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1333;840;841;842;843;844;845;492;495,,,,,,,,,,,,,,
4765,陈长谷元神,$L:npc_4765$,1,3,,4624,1,,,100,58,,30,6.5,1,,2;3;4,,115502,0,0,1566,19,1024,20,,,,,1024;1024;1024;1024;1024,60,120,3,10350,1725,210000,0.5,4,5024;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1333;840;841;842;843;844;845;492;495,,,,,,,,,,,,,,
4766,吕四元神,$L:npc_4766$,1,3,,4625,1,,,100,59,,30,6.5,1,,2;3;4,,120205,0,0,1618,19,1040,20,,,,,1040;1040;1040;1040;1040,60,120,3,10500,1750,210000,0.5,4,5027;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1333;840;841;842;843;844;845;492;495,,,,,,,,,,,,,,
4767,吕三元神,$L:npc_4767$,1,3,,4626,1,,,100,60,,40,15,1,,2;3;4,,166725,0,0,3859,19,1056,20,,,,,1056;1056;1056;1056;1056,60,120,3,14200,2367,288000,0.5,4,5025;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1333;840;841;842;843;844;845;492;495,,,,,,,,,,,,,,
4768,精英地痞,$L:npc_4579$,1,3,,4561,1,,,100,56,,4.5,5,1,,,,15974,0,0,1126,19,991,20,,,,,991;991;991;991;991,60,120,3,1508,251,30600,0.5,4,5026;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1331;,,,,,,,,,,,,,,
4769,精英豪奴,$L:npc_4583$,1,3,,4562,1,,,100,57,,4.5,5,1,,,,16640,0,0,1165,19,1008,20,,,,,1008;1008;1008;1008;1008,60,120,3,1530,255,30600,0.5,4,5024;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1331;,,,,,,,,,,,,,,
4770,精英教头,$L:npc_4582$,1,3,,4567,1,,,100,56,,5,6,1,,,,17749,0,0,1351,19,991,20,,,,,991;991;991;991;991,60,120,3,1675,279,34000,0.5,4,5024;,0.1;0;0;,"0,0;",,,,,,,2711;-453;1,,,,,1334;,,,,,,,,,,,,,,
4771,精英劲卒,$L:npc_4586$,1,3,,63,1,,,100,58,,4.5,5,1,,,,17325,0,0,1204,19,1024,20,,,,,1024;1024;1024;1024;1024,60,120,3,1553,259,31500,0.5,4,5027;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1332;,,,,,,,,,,,,,,
4772,精英守卫,$L:npc_4598$,1,3,,4564,1,,,100,58,,5,6,1,,,,19250,0,0,1445,19,1024,20,,,,,1024;1024;1024;1024;1024,60,120,3,1725,288,35000,0.5,4,5025;,0.1;0;0;,"0,0;",,,,,,,2711;-453;1,,,,,1334;981,,,,,,,,,,,,,,
4773,精英保镖,$L:npc_4600$,1,3,,4568,1,,,100,59,,4.5,5,1,,,,18031,0,0,1245,19,1040,20,,,,,1040;1040;1040;1040;1040,60,120,3,1575,263,31500,0.5,4,5026;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1332;,,,,,,,,,,,,,,
4774,精英南疆使者,$L:npc_4607$,1,3,,4571,1,,,100,55,,4.5,5,1,,,,15327,0,0,1088,19,975,20,,,,,975;975;975;975;975,60,120,3,1485,248,29700,0.5,4,5025;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1330;,,,,,,,,,,,,,,
4775,精英烈火使者,$L:npc_4775$,1,3,,4570,1,,,100,55,,4.5,5,1,,,,15327,0,0,1088,19,975,20,,,,,975;975;975;975;975,60,120,3,1485,248,29700,0.5,4,5023;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,1330;,,,,,,,,,,,,,,
4776,老者下棋,$L:npc_4776$,1,0,,4627,0,,,100,58,,4,4,1,,,,15400,0,0,963,19,1024,20,,,,,1024;1024;1024;1024;1024,60,120,3,1380,230,28000,0.5,1,5023;,0.1;0;0;,"0,0;",5648,0;0;0;0;0;0;0;,"0,0",0.025,,,2711;-453;1,,,,,,,,,,,,,,,,,,,
4777,七星台童子,$L:npc_4777$,1,3,,45,0,,,100,50,,3.5,3,1,,,,3440,312,0,228,31,569,20,,,,,600;600;600;600;600,60,0,3,718,120,14700,0.5,,,1;0;0;,,,,,,,,2711;-453;1,,talk/npc_talk_4777.xml,,,,,,,,,,,,,,,,,
4778,七星台童子,$L:npc_4778$,1,3,,45,0,,,100,50,,3.5,3,1,,,,3440,312,0,228,31,569,20,,,,,600;600;600;600;600,60,0,3,718,120,14700,0.5,,,1;0;0;,,,,,,,,2711;-453;1,,talk/npc_talk_4778.xml,,,,,,,,,,,,,,,,,
4779,七星台入口,$L:npc_4779$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,40,,,,,,,,,,,,,
4780,七星台2层进口,$L:npc_4780$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,41,,,,,,,,,,,,,
4781,七星台3层进口,$L:npc_4781$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,42,,,,,,,,,,,,,
4782,七星台4层进口,$L:npc_4782$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,43,,,,,,,,,,,,,
4783,七星台5层进口,$L:npc_4783$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,44,,,,,,,,,,,,,
4784,七星台出口,$L:npc_4784$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,45,,,,,,,,,,,,,
4785,七星台2层出口,$L:npc_4785$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,46,,,,,,,,,,,,,
4786,七星台3层出口,$L:npc_4786$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,47,,,,,,,,,,,,,
4787,七星台4层出口,$L:npc_4787$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,48,,,,,,,,,,,,,
4788,七星台5层出口,$L:npc_4788$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,49,,,,,,,,,,,,,
4789,密林毒蛇,$L:npc_4789$,1,3,,4628,1,,,100,57,,10,5,1,,,,36977,120,0,1165,19,1008,20,,,,,1008;1008;1008;1008;1008,60,150,3,0,0,0,0,1,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,,,,
4790,副本入口,$L:npc_4790$,1,3,,45,0,,,100,60,,10,5,1,,,,41681,120,0,9263,59,1056,20,,,,,1056;1056;1056;1056;1056,60,0,3,355,59,7200,0.5,,,,,,,,,,,,talk;traffic,,,,,50,,,,,,,,,,1,,,
4791,青翼蝠王,$L:npc_4791$,1,3,,4387,1,,,100,59,,5,3,1,,,,20034,120,0,747,19,1040,20,,,,,1040;1040;1040;1040;1040,60,150,3,0,0,0,0,1,,0.1;0;0;,,,,,,,,,,,,,,,,,,,,,,,,1,,,
4792,财神爷,$L:npc_4792$,1,3,,4588,0,,,100,99,,,,,,,,11288,120,0,697,94,6760,20,,,,,6760;6760;6760;6760;6760,60,120,3,550,92,11000,0.5,,,,,,,,,,,,talk;task;,talk/npc_talk_4637.xml,714;,714;,,,,,,,,,,,,1,,,
4793,宠物商人,$L:npc_4793$,1,3,,242,0,,,100,99,,,,0,,,,11288,120,0,697,94,6760,20,,,,,6760;6760;6760;6760;6760,60,120,3,550,92,11000,0.5,,,0.1;0;0;,,,,,,,,,talk;shop;,talk/npc_talk_225.xml,,,,,,,,,,1,,,,,,,
4794,杂货商,$L:npc_4794$,1,3,,4601,0,,,100,99,,,,0,,,,11288,120,0,697,94,6760,20,,,,,6760;6760;6760;6760;6760,60,120,3,550,92,11000,0.5,,,0.1;0;0;,,,,,,,,,talk;shop;,talk/npc_talk_108.xml,,,,,,,,,,,,,,,,,
4800,蜘蛛炮台,$L:npc_4800$,1,3,,4631,1,,,100,40,,10,2,1,,100,,17111,0,0,244,41,731,1204,,,,,731;731;731;731;731,400,0,3,255,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801,猴子炮台,$L:npc_4801$,1,3,,4632,1,,,100,40,,10,2,1,,100,,17111,0,0,163,41,731,1205,,,,,731;731;731;731;731,400,0,2,255,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4802,章鱼炮台,$L:npc_4802$,1,3,,4633,1,,,100,40,,10,2,1,,100,,17111,0,0,325,41,731,1206,,,,,731;731;731;731;731,800,0,4,255,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4803,初级巫医,$L:npc_4803$,1,3,,4467,1,,,100,40,,,2,0,,,,3000,0,0,244,41,731,20,,"1207,1;",,,731;731;731;731;731,300,150,3,255,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4804,高级巫医,$L:npc_4804$,1,3,,4467,1,,,100,40,,,2,0,,,,3000,0,0,244,41,731,20,,"1208,1;",,,731;731;731;731;731,300,120,3,255,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4805,宝箱,$L:npc_4336$,2,3,,114,0,,,0,40,,100,1,1,,,,171113,120,0,1013,19,731,20,,,,,731;731;731;731;731,60,0,3,25500,4250,,,,,,,5512;5513;5513;5514;,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;",1;0.3;0.3;0.2;,,,,,,,,,,,,,,,,,,,,,,
4806,大本营,$L:npc_4805$,1,3,,4630,1,,,100,40,,100,2,1,,100,,171113,0,0,244,41,731,1242,,,,,731;731;731;731;731,500,0,3,255,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4807,治疗棒,$L:npc_4807$,1,3,,4634,1,,,0,40,,10,,1,,100,,17111,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4808,机关巨人,$L:npc_196$,1,3,,154,1,,,100,50,,10,3,1,,,,27489,240,0,545,50,894,20,,"1153,0.1;1154,0.1",,,894;894;894;894;894,100,120,3,3050,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4809,温泉,$L:npc_4809$,1,0,,4635,1,,,0,40,,10,,1,,100,,17111,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4810,虎王,$L:npc_353$,1,3,,206,1,,,600,20,,20,1,1,,2;3;4,,10890,30,0,323,20,406,20,,"1142,1;1196,1",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5512;5513,0;0;0;0;0;0;0;,"0,0;0,0;",1;0.5,,,,,,,,,,,,,,,,,,,,,,
4811,晓月禅师,$L:npc_39$,1,3,,39,1,,,600,20,,20,1,1,,2;3;4,,10890,640,0,323,23,406,20,,"1134,1;1135,1",,,406;406;406;406;406,60,120,3,155,26,,,,,,,5513;5513,0;0;0;0;0;0;0;,"0,0;0,0;",1;0.5,,,,,,,,,,,,,,,,,,,,,,
4812,冰镜仙子,$L:npc_4663$,1,3,,4595,1,,,600,20,,20,1,1,,2;3;4,,10890,120,0,323,23,406,20,,"1198,1;1187,1",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5513;5514,0;0;0;0;0;0;0;,"0,0;0,0;",1;0.5,,,,,,,,,,,,,,,,,,,,,,
4813,魔宫五魔公孙武,$L:npc_4325$,1,3,,4325,1,,,600,20,,20,1,1,,2;3;4,,10890,120,0,323,23,406,20,,"1167,1;1203,1;",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5514;5514,0;0;0;0;0;0;0;,"0,0;0,0;",1;0.5,,,,,,,,,,,,,,,,,,,,,,
4814,鬼道人乔瘦滕,$L:npc_4500$,1,3,,4468,1,,,600,20,,20,1,1,,2;3;4,,10890,120,0,323,23,406,20,,"1176,1;1202,1;",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5514;5515;,0;0;0;0;0;0;0;,"0,0;0,0;",1;0.5,,,,,,,,,,,,,,,,,,,,,,
4815,魔宫八魔邱舟令,$L:npc_4326$,1,3,,4326,1,,,600,20,,20,1,1,,2;3;4,,10890,120,0,323,23,406,20,,"1200,1;1201,1;",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5515;5515;,0;0;0;0;0;0;0;,"0,0;0,0;",1;0.5,,,,,,,,,,,,,,,,,,,,,,
4816,千年水蛭,$L:npc_4494$,1,3,,4461,1,,,600,20,,20,1,1,,2;3;4,,10890,120,0,323,23,406,20,,"1183,1;1184,1;",,,406;406;406;406;406,60,150,3,155,26,,,,,,,5515;5516;,0;0;0;0;0;0;0;,"0,0;0,0;",1;0.5,,,,,,,,,,,,,,,,,,,,,,
4817,精英毒蝇,$L:npc_397$,1,3,,74,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4818,污毒蜘蛛,$L:npc_4434$,1,3,,4434,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4819,恐怖蜘蛛卵,$L:npc_4488$,1,3,,4463,1,,,15,40,,3,2,1,,,,5133,120,0,244,20,731,20,,"1172,0;",,,731;731;731;731;731,60,0,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4820,精英地痞,$L:npc_4579$,1,3,,4561,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4821,宝箱,$L:npc_4471$,2,3,,114,0,,,100,40,,3,2,1,,,,5133,120,0,2025,19,731,20,,,,,731;731;731;731;731,60,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4822,守财奴,$L:npc_4472$,1,3,,913,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4823,赤身女鬼,$L:npc_4431$,1,3,,4431,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4824,恶乞丐,$L:npc_4580$,1,3,,4559,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4825,变异黑马熊,$L:npc_4393$,1,3,,4393,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4826,楠树守卫,$L:npc_3104$,1,3,,604,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4827,恐怖蜘蛛卵,$L:npc_4488$,1,3,,4463,1,,,15,40,,3,2,1,,,,5133,120,0,244,20,731,20,,"1172,0;",,,731;731;731;731;731,60,0,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4828,飞龙师太,$L:npc_198$,1,3,,156,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4829,食人族勇士,$L:npc_4462$,1,3,,81,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4830,螺丝湾守卫,$L:npc_4602$,1,3,,130,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,150,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4831,马熊统领,$L:npc_4397$,1,3,,4397,1,,,100,40,,3,2,1,,,,5133,120,0,244,15,731,1126,,,,,256;256;256;256;256,200,200,3,765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
