33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,说明,门派,部位,,品质,价值倍率,物理防御,主属性,体质,力量,敏捷,智力,道具等级,最大修炼等级,装备需求等级,法宝超级等级,闪躲,爆击,招架,hp回复,mp回复,闪躲率,爆击率,招架率,法术防御1,法术防御2,法术防御3,法术防御4,法术防御5,最大hp+x%,,,,,,,,,,,,,,,,,
411,闪躲率魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
412,闪躲率魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
413,闪躲率魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
414,闪躲率魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
415,闪躲率魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
416,闪躲率魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
417,闪躲率魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
418,闪躲率魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
419,闪躲率魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
420,闪躲率魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
421,爆击率魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
422,爆击率魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
423,爆击率魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
424,爆击率魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
425,爆击率魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
426,爆击率魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
427,爆击率魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
428,爆击率魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
429,爆击率魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
430,爆击率魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
431,招架率魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
432,招架率魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
433,招架率魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
434,招架率魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
435,招架率魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
436,招架率魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
437,招架率魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
438,招架率魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
439,招架率魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
440,招架率魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
441,火系法术防御魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
442,火系法术防御魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,
443,火系法术防御魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,
444,火系法术防御魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,
445,火系法术防御魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,
446,火系法术防御魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,
447,火系法术防御魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,
448,火系法术防御魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,
449,火系法术防御魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,
450,火系法术防御魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,
451,水系法术防御魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
452,水系法术防御魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,
453,水系法术防御魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,
454,水系法术防御魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,
455,水系法术防御魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,
456,水系法术防御魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,
457,水系法术防御魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,
458,水系法术防御魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,
459,水系法术防御魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,
460,水系法术防御魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,
461,毒系法术防御魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
462,毒系法术防御魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
463,毒系法术防御魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
464,毒系法术防御魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
465,毒系法术防御魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,
466,毒系法术防御魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,
467,毒系法术防御魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,
468,毒系法术防御魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,
469,毒系法术防御魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,
470,毒系法术防御魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,
471,电系法术防御魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
472,电系法术防御魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,
473,电系法术防御魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,
474,电系法术防御魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,
475,电系法术防御魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,
476,电系法术防御魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,
477,电系法术防御魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,
478,电系法术防御魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,
479,电系法术防御魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,
480,电系法术防御魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,
481,佛系法术防御魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
482,佛系法术防御魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,
483,佛系法术防御魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,
484,佛系法术防御魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,
485,佛系法术防御魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
486,佛系法术防御魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
487,佛系法术防御魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
488,佛系法术防御魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,
489,佛系法术防御魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,
490,佛系法术防御魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,
491,灵魂锁定,5,,,,,,,,,,,"ItemGetEnchantValue(3,3)",,"ItemGetEnchantNeedLevel(0,0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,防具提升魔石10级(台湾),5,3;4;5;6;7;8,,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,法宝提升魔石5级(大陆),5,1;2,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,小灵魂锁定,5,,,,,,,,,,,"ItemGetEnchantValue(0,2)",,"ItemGetEnchantNeedLevel(0,0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,防具提升魔石10级(越南),5,3;4;5;6;7;8,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,道具签名,5,3;4;5;6;7;8;9;10,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,护具,,,,0,2,"DRRToArmor(0.20,60)/6+2",ItemGetMAttr*1+3,ItemGetCon*1.5+3,,,,,,,,ItemGetDodge*1.25,ItemGetCHit*1.25,,,,,,,"DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2",,,,,,,,,,,,,,,,,,
175,天使首饰,,,,,,,,100,100,100,100,,,,,,,,,,5,5,,250,250,250,250,250,5,,,,,,,,,,,,,,,,,
176,血梦首饰,,,,,,,,150,150,150,150,,,,,,,,,,5,5,,500,500,500,500,500,10,,,,,,,,,,,,,,,,,
177,圣天使首饰,,,,,,,,200,200,200,200,,,,,,,,,,5,5,,750,750,750,750,750,15,,,,,,,,,,,,,,,,,
178,PVPF,,,,,,,,150,150,150,150,,,,,,,,,,5,5,,,,,,,10,,,,,,,,,,,,,,,,,
179,PVP,,,,,,,,200,200,200,200,,,,,,,,,,5,5,,,,,,,15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6669,Purple90,,,,0,2,"DRRToArmor(0.20,90)/6+800",ItemGetMAttr*3+3,ItemGetCon*4+3,300,300,300,,,,,ItemGetDodge*1.25+400,ItemGetCHit*1.25+200,,300,300,,,,"DRRToArmor(0.20,90)/6+80","DRRToArmor(0.20,90)/6+80","DRRToArmor(0.20,90)/6+80","DRRToArmor(0.20,90)/6+80","DRRToArmor(0.20,90)/6+80",,,,,,,,,50,50,50,50,50,,,,,
6670,PurpleRADS,,,,,,,,500,500,500,500,,,,,,,,200,200,10,10,,,,,,,,,,,,,,,,,,,,,,,,
6671,PurpleRA,,,,,,,,200,200,200,200,,,,,,,,100,100,6,6,,,,,,,,,,,,,,,,,,,,,,,,
